"Country1 ""Country2"" ""Country1.iso3"" ""Country2.iso3"" ""level of happiness"" ""trust in people"" ""respect for authority"" ""voice through petitions"" ""importance.of.God"" ""justification of homosexuality"" ""justification of abortion"" ""national pride"" ""post-materialism"" ""obedience vs. independence"" ""JD marginals"" ""JD network"" ""JD index"" ""Mean diff"" ""IW index"""
"Algeria ""Azerbaijan"" ""DZA"" ""AZE"" 0.0408862737011897 0.00111878402026299 0.19059255357193 0.489773960100571 0.110050893446119 0.581012172822217 0.16941368961626 0.132661772872228 0.0988510781868589 1.24985054559258 3.06421172393021 1.01534509529068 4.07955681922089 1.68551826438347 0.654699567785603"
"Algeria ""Argentina"" ""DZA"" ""ARG"" 0.124027587371182 0.0169947155794773 0.0308683296773254 0.288029647473767 1.72877955282022 1.57364601826711 0.248200796042046 0.0845472441809377 0.0450524121833037 0.42363668620923 4.5637829898046 0.573431652158707 5.13721464196331 4.60368969065752 2.94117226444033"
"Algeria ""Australia"" ""DZA"" ""AUS"" 0.317661281787621 0.61771042703094 0.0880195226051481 2.97973641876421 2.49935766130848 2.22530940213277 1.32487640238553 0.051036195189409 0.0566562040215376 1.03826583598124 11.1986293512069 0.816520065386756 12.0151494165936 7.20335822802142 5.03544801470366"
"Algeria ""Armenia"" ""DZA"" ""ARM"" 0.0940941515502378 0.0510301784604176 0.0121916042480175 0.0763211912591885 0.484983246545873 0.817248074893467 0.0765339929648073 0.08265120113814 0.119272723607301 0.160900258134956 1.97522662280241 0.866405188080748 2.84163181088315 1.57677485630171 0.548155044306582"
"Algeria ""Brazil"" ""DZA"" ""BRA"" 0.223048446592577 0.127876883403777 0.400883255776611 0.926715076285169 0.206155831380453 0.850331782840135 0.199073979985023 0.468272478615267 0.0279500149139156 0.0165187728448199 3.44682652263775 0.995168799754506 4.44199532239225 2.62524312312735 2.0427242553974"
"Algeria ""Chile"" ""DZA"" ""CHL"" 0.0670563835027062 0.0204040549800892 0.0736979951218966 0.136199766103443 0.779629960254548 1.66596800901751 0.0803819422693558 0.0631969723151683 0.140375304261006 0.465971296432174 3.4928816842579 0.683176416406994 4.17605810066489 3.89549077534165 2.39509906568833"
"Algeria ""China"" ""DZA"" ""CHN"" 0.0549414248015908 0.980369641692017 0.161683509328151 0.0553096017114822 5.64548509870598 0.0269394070089387 0.0806590071496342 0.576352440746089 0.248471315054957 2.30799274697693 10.1382041931758 0.576655177646263 10.714859370822 6.2681123938828 4.19109104493275"
"Algeria ""Taiwan"" ""DZA"" ""TWN"" 0.121603018398414 0.0837202674343633 0.867927513669558 0.0402179695016114 2.7988042645101 0.910601934979572 0.322773232012609 1.14562954404379 0.0784707738298821 1.59206613848628 7.96181465686619 0.779165951807933 8.74098060867412 4.4649403839665 3.90893526399516"
"Algeria ""Colombia"" ""DZA"" ""COL"" 0.692785954894639 0.222319222794689 0.614056430343598 0.29106128889789 0.0439997186535283 0.243812555991508 0.166443545578935 0.20288456222216 0.237889831940578 0.0502439814013477 2.76549709271887 0.840460558956948 3.60595765167582 1.6027103535387 3.43832089818155"
"Algeria ""Cyprus"" ""DZA"" ""CYP"" 0.0720965985812952 0.0681365504438015 0.0158949460784618 0.355806899009625 0.430143982687403 0.364550793357369 0.279820625422457 0.0767731072221184 0.0155282166831742 0.208100813761545 1.88685253324725 0.647120685724238 2.53397321897149 2.29595638046407 1.54583623122223"
"Algeria ""Ecuador"" ""DZA"" ""ECU"" 0.727916099951106 0.111042181823686 0.591570739436366 0.0183896644381737 0.0711289899084282 0.156666342190479 0.067217465019224 0.597546751469631 0.0589277721756037 0.0188437135730644 2.41924971998576 0.65715711188067 3.07640683186643 1.14731731996163 2.80504530593207"
"Algeria ""Estonia"" ""DZA"" ""EST"" 0.0552145987531895 0.23643953656787 0.108977707118714 0.0614297540294717 4.05991582083453 0.168794457806052 0.952941872332556 0.901681148863825 0.0135714002112436 0.742982313655435 7.30194861017289 0.795811764664828 8.09776037483771 5.8859600854087 4.1918015476772"
"Algeria ""Georgia"" ""DZA"" ""GEO"" 0.079827912869988 0.0724110772985708 0.0849267846579591 0.0758179178600457 0.136317859788286 0.477941915092142 0.168735259018981 0.121551901160388 0.0416233282423748 0.263335661983236 1.52248961797197 0.781517053683057 2.30400667165503 1.431543157312 0.875372358154509"
"Algeria ""Palestine"" ""DZA"" ""PAL"" 0.0616579863872483 2.699941448294e-05 0.0862154609399945 0.00252383717844786 0.101391907762539 0.205112931363685 0.11108451402479 0.0148109255428973 0.0724405676123212 0.0200183988759411 0.675283529102348 0.798936720289067 1.47422024939142 0.847329382010687 0.928324861235451"
"Algeria ""Germany"" ""DZA"" ""DEU"" 0.0504948920766407 0.29781362213103 0.229634065858174 1.09824130786896 3.819134507465 1.6945426014272 0.726257511211607 0.573595401594093 0.312521228743291 1.96974337382968 10.7719785122057 0.739705654037147 11.5116841662428 7.0462585920845 5.44549667024312"
"Algeria ""Ghana"" ""DZA"" ""GHA"" 0.640881561804747 0.184489486181499 1.35914147396046 0.0890980085598184 0.0602995536346915 0.309078080645893 0.234753746276598 0.90487675457603 0.00837832998316183 0.043000836092242 3.83399783171514 0.475024684026625 4.30902251574177 1.45248170616197 2.51145933133001"
"Algeria ""Haiti"" ""DZA"" ""HTI"" 0.120491874499776 0.00863830474376731 1.02395269752941 1.30523328069218 0.425920780687694 0.275368224227283 0.345944950782185 0.0564531510925543 1.59937200595982 0.360928742319796 5.52230401253446 0.637071515513931 6.15937552804839 2.18700328881144 2.2183859274467"
